Step 1      Volume
Tetra 79   1.12078       
Tetra 80   1.21450       
Tetra 81   1.13855       
Tetra 82   1.18269       
Tetra 83   1.15131       
Tetra 84   1.15015       
Tetra 85   1.10759       
Tetra 86   1.14891       
Tetra 87   1.16027       
Tetra 88   1.20539       
Tetra 89   1.20518       
Tetra 90   1.20487       
Tetra 91   1.20572       
Tetra 92   1.12873       
Tetra 93   1.17321       
Total Volume: 106.388

Step 7      Volume
---------------------------
Tetra 1    0.854653      
Tetra 2    0.854721      
Tetra 3    0.769090      
Tetra 4    0.769151      
Tetra 5    0.848269      
Tetra 6    0.848336      
Tetra 7    0.801917      
Tetra 8    0.879401      
Tetra 9    0.801601      
Tetra 10   0.879057      
Tetra 11   0.803799      
Tetra 12   0.881453      
Tetra 13   1.30155       
Tetra 14   1.21994       
Tetra 15   1.22273       
Tetra 16   1.13697       
Tetra 17   1.31257       
Tetra 18   1.13886       
Tetra 19   1.31538       
Tetra 20   1.31320       
Tetra 21   1.23016       
Tetra 22   1.11131       
Tetra 23   1.11307       
Tetra 24   1.28558       
Tetra 25   1.28199       
Tetra 26   1.28527       
Tetra 27   1.23298       
Tetra 28   1.23368       
Tetra 29   1.23359       
Tetra 30   1.24959       
Tetra 31   1.20161       
Tetra 32   1.20152       
Tetra 33   1.21118       
Tetra 34   1.32172       
Tetra 35   1.28883       
Tetra 36   1.24076       
Tetra 37   1.25651       
Tetra 38   1.23717       
Tetra 39   1.22490       
Tetra 40   1.18080       
Tetra 41   1.27540       
Tetra 42   1.32548       
Tetra 43   1.24059       
Tetra 44   1.28961       
Tetra 45   1.29281       
Tetra 46   1.29250       
Tetra 47   1.25371       
Tetra 48   1.25682       
Tetra 49   1.20965       
Tetra 50   1.36589       
Tetra 51   1.31679       
Tetra 52   1.27951       
Tetra 53   1.28133       
Tetra 54   1.33316       
Tetra 55   1.28343       
Tetra 56   1.18579       
Tetra 57   1.15292       
Tetra 58   1.25629       
Tetra 59   1.33322       
Tetra 60   1.33502       
Tetra 61   1.24942       
Tetra 62   1.25119       
Tetra 63   1.29673       
Tetra 64   1.18729       
Tetra 65   1.30593       
Tetra 66   1.27028       
Tetra 67   1.28593       
Tetra 68   1.28532       
Tetra 69   1.28647       
Tetra 70   1.24931       
Tetra 71   1.29984       
Tetra 72   1.10007       
Tetra 73   1.10288       
Tetra 74   1.10463       
Tetra 75   1.10338       
Tetra 76   1.10154       
Tetra 77   1.19028       
Tetra 78   1.15775       
Tetra 79   1.15912       
Tetra 80   1.25864       
Tetra 81   1.18022       
Tetra 82   1.22674       
Tetra 83   1.19514       
Tetra 84   1.19378       
Tetra 85   1.14898       
Tetra 86   1.19240       
Tetra 87   1.20605       
Tetra 88   1.25369       
Tetra 89   1.25350       
Tetra 90   1.25309       
Tetra 91   1.25412       
Tetra 92   1.17414       
Tetra 93   1.22121       
Total Volume: 110.134

Step 8      Volume
---------------------------
Tetra 1    0.872576      
Tetra 2    0.872662      
Tetra 3    0.782851      
Tetra 4    0.782929      
Tetra 5    0.865515      
Tetra 6    0.865600      
Tetra 7    0.816833      
Tetra 8    0.897520      
Tetra 9    0.816504      
Tetra 10   0.897161      
Tetra 11   0.818961      
Tetra 12   0.899844      
Tetra 13   1.34682       
Tetra 14   1.26308       
Tetra 15   1.26628       
Tetra 16   1.17354       
Tetra 17   1.35956       
Tetra 18   1.17561       
Tetra 19   1.36264       
Tetra 20   1.36027       
Tetra 21   1.27491       
Tetra 22   1.14836       
Tetra 23   1.15027       
Tetra 24   1.33326       
Tetra 25   1.32930       
Tetra 26   1.33294       
Tetra 27   1.27814       
Tetra 28   1.27892       
Tetra 29   1.27881       
Tetra 30   1.29680       
Tetra 31   1.24665       
Tetra 32   1.24654       
Tetra 33   1.25321       
Tetra 34   1.36972       
Tetra 35   1.33680       
Tetra 36   1.28667       
Tetra 37   1.30030       
Tetra 38   1.28272       
Tetra 39   1.26879       
Tetra 40   1.22295       
Tetra 41   1.32179       
Tetra 42   1.37401       
Tetra 43   1.28662       
Tetra 44   1.33777       
Tetra 45   1.34131       
Tetra 46   1.34099       
Tetra 47   1.30139       
Tetra 48   1.30484       
Tetra 49   1.25561       
Tetra 50   1.41548       
Tetra 51   1.36443       
Tetra 52   1.32665       
Tetra 53   1.32864       
Tetra 54   1.38284       
Tetra 55   1.33097       
Tetra 56   1.22482       
Tetra 57   1.19167       
Tetra 58   1.30030       
Tetra 59   1.38300       
Tetra 60   1.38497       
Tetra 61   1.29676       
Tetra 62   1.29871       
Tetra 63   1.34608       
Tetra 64   1.22646       
Tetra 65   1.35206       
Tetra 66   1.31608       
Tetra 67   1.33383       
Tetra 68   1.33316       
Tetra 69   1.33447       
Tetra 70   1.29669       
Tetra 71   1.34957       
Tetra 72   1.13581       
Tetra 73   1.13891       
Tetra 74   1.14080       
Tetra 75   1.13941       
Tetra 76   1.13742       
Tetra 77   1.22988       
Tetra 78   1.19710       
Tetra 79   1.19858       
Tetra 80   1.30303       
Tetra 81   1.22255       
Tetra 82   1.27107       
Tetra 83   1.23930       
Tetra 84   1.23778       
Tetra 85   1.19109       
Tetra 86   1.23627       
Tetra 87   1.25187       
Tetra 88   1.30163       
Tetra 89   1.30145       
Tetra 90   1.30097       
Tetra 91   1.30214       
Tetra 92   1.21966       
Tetra 93   1.26892       
Total Volume: 113.960

Step 9      Volume
---------------------------
Tetra 1    0.894534      
Tetra 2    0.894637      
Tetra 3    0.800951      
Tetra 4    0.801044      
Tetra 5    0.886905      
Tetra 6    0.887007      
Tetra 7    0.836064      
Tetra 8    0.919805      
Tetra 9    0.835725      
Tetra 10   0.919435      
Tetra 11   0.838405      
Tetra 12   0.922364      
Tetra 13   1.39283       
Tetra 14   1.30703       
Tetra 15   1.31058       
Tetra 16   1.21178       
Tetra 17   1.40704       
Tetra 18   1.21399       
Tetra 19   1.41034       
Tetra 20   1.40782       
Tetra 21   1.32025       
Tetra 22   1.18688       
Tetra 23   1.18890       
Tetra 24   1.38118       
Tetra 25   1.37693       
Tetra 26   1.38086       
Tetra 27   1.32382       
Tetra 28   1.32467       
Tetra 29   1.32455       
Tetra 30   1.34423       
Tetra 31   1.29210       
Tetra 32   1.29198       
Tetra 33   1.29623       
Tetra 34   1.41804       
Tetra 35   1.38497       
Tetra 36   1.33297       
Tetra 37   1.34496       
Tetra 38   1.32873       
Tetra 39   1.31340       
Tetra 40   1.26596       
Tetra 41   1.36863       
Tetra 42   1.42280       
Tetra 43   1.33303       
Tetra 44   1.38611       
Tetra 45   1.38994       
Tetra 46   1.38961       
Tetra 47   1.34922       
Tetra 48   1.35295       
Tetra 49   1.30185       
Tetra 50   1.46528       
Tetra 51   1.41245       
Tetra 52   1.37412       
Tetra 53   1.37627       
Tetra 54   1.43258       
Tetra 55   1.37879       
Tetra 56   1.26528       
Tetra 57   1.23176       
Tetra 58   1.34513       
Tetra 59   1.43285       
Tetra 60   1.43496       
Tetra 61   1.34430       
Tetra 62   1.34639       
Tetra 63   1.39545       
Tetra 64   1.26703       
Tetra 65   1.39882       
Tetra 66   1.36243       
Tetra 67   1.38196       
Tetra 68   1.38124       
Tetra 69   1.38269       
Tetra 70   1.34426       
Tetra 71   1.39926       
Tetra 72   1.17324       
Tetra 73   1.17658       
Tetra 74   1.17858       
Tetra 75   1.17707       
Tetra 76   1.17496       
Tetra 77   1.27082       
Tetra 78   1.23770       
Tetra 79   1.23927       
Tetra 80   1.34819       
Tetra 81   1.26570       
Tetra 82   1.31606       
Tetra 83   1.28400       
Tetra 84   1.28235       
Tetra 85   1.23393       
Tetra 86   1.28075       
Tetra 87   1.29800       
Tetra 88   1.34966       
Tetra 89   1.34952       
Tetra 90   1.34896       
Tetra 91   1.35026       
Tetra 92   1.26542       
Tetra 93   1.31665       
Total Volume: 117.885

Step 10     Volume
---------------------------
Tetra 1    0.919601      
Tetra 2    0.919719      
Tetra 3    0.822306      
Tetra 4    0.822413      
Tetra 5    0.911482      
Tetra 6    0.911600      
Tetra 7    0.858567      
Tetra 8    0.945331      
Tetra 9    0.858221      
Tetra 10   0.944952      
Tetra 11   0.861094      
Tetra 12   0.948094      
Tetra 13   1.44002       
Tetra 14   1.35205       
Tetra 15   1.35590       
Tetra 16   1.25168       
Tetra 17   1.45549       
Tetra 18   1.25400       
Tetra 19   1.45899       
Tetra 20   1.45633       
Tetra 21   1.36646       
Tetra 22   1.22683       
Tetra 23   1.22895       
Tetra 24   1.42982       
Tetra 25   1.42532       
Tetra 26   1.42949       
Tetra 27   1.37034       
Tetra 28   1.37123       
Tetra 29   1.37110       
Tetra 30   1.39224       
Tetra 31   1.33822       
Tetra 32   1.33810       
Tetra 33   1.34045       
Tetra 34   1.46722       
Tetra 35   1.43381       
Tetra 36   1.38001       
Tetra 37   1.39080       
Tetra 38   1.37553       
Tetra 39   1.35901       
Tetra 40   1.30998       
Tetra 41   1.41633       
Tetra 42   1.47237       
Tetra 43   1.38018       
Tetra 44   1.43511       
Tetra 45   1.43918       
Tetra 46   1.43885       
Tetra 47   1.39759       
Tetra 48   1.40155       
Tetra 49   1.34865       
Tetra 50   1.51594       
Tetra 51   1.46136       
Tetra 52   1.42237       
Tetra 53   1.42463       
Tetra 54   1.48298       
Tetra 55   1.42733       
Tetra 56   1.30727       
Tetra 57   1.27325       
Tetra 58   1.39110       
Tetra 59   1.48333       
Tetra 60   1.48556       
Tetra 61   1.39240       
Tetra 62   1.39462       
Tetra 63   1.44533       
Tetra 64   1.30911       
Tetra 65   1.44666       
Tetra 66   1.40973       
Tetra 67   1.43076       
Tetra 68   1.42999       
Tetra 69   1.43157       
Tetra 70   1.39239       
Tetra 71   1.44941       
Tetra 72   1.21225       
Tetra 73   1.21580       
Tetra 74   1.21790       
Tetra 75   1.21628       
Tetra 76   1.21407       
Tetra 77   1.31323       
Tetra 78   1.27964       
Tetra 79   1.28128       
Tetra 80   1.39446       
Tetra 81   1.30985       
Tetra 82   1.36198       
Tetra 83   1.32949       
Tetra 84   1.32773       
Tetra 85   1.27762       
Tetra 86   1.32605       
Tetra 87   1.34469       
Tetra 88   1.39820       
Tetra 89   1.39808       
Tetra 90   1.39745       
Tetra 91   1.39886       
Tetra 92   1.31161       
Tetra 93   1.36474       
Total Volume: 121.921

Step 11     Volume
---------------------------
Tetra 1    0.947144      
Tetra 2    0.947277      
Tetra 3    0.846191      
Tetra 4    0.846310      
Tetra 5    0.938590      
Tetra 6    0.938722      
Tetra 7    0.883635      
Tetra 8    0.973450      
Tetra 9    0.883283      
Tetra 10   0.973065      
Tetra 11   0.886328      
Tetra 12   0.976397      
Tetra 13   1.48864       
Tetra 14   1.39833       
Tetra 15   1.40244       
Tetra 16   1.29321       
Tetra 17   1.50522       
Tetra 18   1.29564       
Tetra 19   1.50888       
Tetra 20   1.50612       
Tetra 21   1.41377       
Tetra 22   1.26820       
Tetra 23   1.27041       
Tetra 24   1.47949       
Tetra 25   1.47476       
Tetra 26   1.47915       
Tetra 27   1.41792       
Tetra 28   1.41886       
Tetra 29   1.41872       
Tetra 30   1.44115       
Tetra 31   1.38525       
Tetra 32   1.38512       
Tetra 33   1.38603       
Tetra 34   1.51760       
Tetra 35   1.48367       
Tetra 36   1.42806       
Tetra 37   1.43802       
Tetra 38   1.42336       
Tetra 39   1.40581       
Tetra 40   1.35518       
Tetra 41   1.46518       
Tetra 42   1.52310       
Tetra 43   1.42832       
Tetra 44   1.48510       
Tetra 45   1.48938       
Tetra 46   1.48905       
Tetra 47   1.44680       
Tetra 48   1.45097       
Tetra 49   1.39628       
Tetra 50   1.56783       
Tetra 51   1.51148       
Tetra 52   1.47169       
Tetra 53   1.47406       
Tetra 54   1.53442       
Tetra 55   1.47690       
Tetra 56   1.35085       
Tetra 57   1.31619       
Tetra 58   1.43843       
Tetra 59   1.53485       
Tetra 60   1.53718       
Tetra 61   1.44138       
Tetra 62   1.44370       
Tetra 63   1.49608       
Tetra 64   1.35278       
Tetra 65   1.49586       
Tetra 66   1.45822       
Tetra 67   1.48057       
Tetra 68   1.47976       
Tetra 69   1.48145       
Tetra 70   1.44140       
Tetra 71   1.50041       
Tetra 72   1.25281       
Tetra 73   1.25654       
Tetra 74   1.25873       
Tetra 75   1.25702       
Tetra 76   1.25471       
Tetra 77   1.35718       
Tetra 78   1.32296       
Tetra 79   1.32467       
Tetra 80   1.44204       
Tetra 81   1.35514       
Tetra 82   1.40904       
Tetra 83   1.37597       
Tetra 84   1.37410       
Tetra 85   1.32231       
Tetra 86   1.37235       
Tetra 87   1.39222       
Tetra 88   1.44756       
Tetra 89   1.44746       
Tetra 90   1.44677       
Tetra 91   1.44828       
Tetra 92   1.35850       
Tetra 93   1.41349       
Total Volume: 126.079

Step 12     Volume
---------------------------
Tetra 1    0.976739      
Tetra 2    0.976884      
Tetra 3    0.872119      
Tetra 4    0.872250      
Tetra 5    0.967786      
Tetra 6    0.967930      
Tetra 7    0.910793      
Tetra 8    1.00372       
Tetra 9    0.910434      
Tetra 10   1.00333       
Tetra 11   0.913637      
Tetra 12   1.00683       
Tetra 13   1.53886       
Tetra 14   1.44600       
Tetra 15   1.45034       
Tetra 16   1.33637       
Tetra 17   1.55643       
Tetra 18   1.33890       
Tetra 19   1.56024       
Tetra 20   1.55737       
Tetra 21   1.46236       
Tetra 22   1.31103       
Tetra 23   1.31332       
Tetra 24   1.53042       
Tetra 25   1.52550       
Tetra 26   1.53009       
Tetra 27   1.46675       
Tetra 28   1.46773       
