manifold_lex_d2_n9_#123: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#124: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#125: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#126: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#127: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#128: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#129: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#130: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#131: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#132: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#133: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#134: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#135: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#136: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#137: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#138: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#139: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#140: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#141: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#142: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#143: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#144: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#145: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#146: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#147: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#148: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#149: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#150: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#151: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#152: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#153: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#154: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#155: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#156: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#157: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#158: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#159: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#160: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#161: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#162: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#163: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#164: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#165: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#166: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#167: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#168: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#169: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#170: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#171: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#172: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#173: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#174: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#175: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#176: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#177: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#178: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#179: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#180: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#181: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#182: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#183: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#184: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#185: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#186: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#187: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#188: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#189: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#190: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#191: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#192: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#193: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#194: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#195: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#196: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#197: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#198: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#199: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#200: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#201: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#202: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#203: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#204: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#205: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#206: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#207: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#208: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#209: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#210: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#211: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#212: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#213: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#214: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#215: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#216: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#217: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#218: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#219: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#220: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#221: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#222: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#223: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#224: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#225: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#226: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#227: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#228: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#229: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#230: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#231: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#232: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#233: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#234: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#235: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#236: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#237: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#238: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#239: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#240: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#241: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#242: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#243: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#244: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#245: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#246: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#247: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#248: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#249: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#250: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#251: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#252: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#253: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#254: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#255: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#256: ( + ; 0 ) = S^2
manifold_lex_d2_n9_#257: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#258: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#259: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#260: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#261: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#262: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#263: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#264: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#265: ( - ; 3 )
manifold_lex_d2_n9_#266: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#267: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#268: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#269: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#270: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#271: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#272: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#273: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#274: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#275: ( - ; 3 )
manifold_lex_d2_n9_#276: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#277: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#278: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#279: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#280: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#281: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#282: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#283: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#284: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#285: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#286: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#287: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#288: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#289: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#290: ( - ; 3 )
manifold_lex_d2_n9_#291: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#292: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#293: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#294: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#295: ( - ; 3 )
manifold_lex_d2_n9_#296: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#297: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#298: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#299: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#300: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#301: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#302: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#303: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#304: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#305: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#306: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#307: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#308: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#309: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#310: ( - ; 2 ) = Klein bottle
